A,B,Weight,5,10,15,Date
1534063990,829200824,18362,5,5,4,2016-12-12
1343237680,2098451489,1723,28,27,24,2016-12-12
401107636,463397903,22,2,1,0,2016-12-12
1243785496,265442043,129,4,3,3,2016-12-12
195941619,1243785496,264,5,5,4,2016-12-12
978193060,717844050,1163,36,27,21,2016-12-12
1243785496,717844050,27950,13,11,9,2016-12-12
1898642600,1585850597,118,6,4,3,2016-12-12
2036048124,2042092649,3695,39,31,27,2016-12-12
333175041,1506301109,19716,8,8,7,2016-12-12
313450190,1585850597,209,7,5,5,2016-12-12
1430506477,1585850597,2117,12,11,11,2016-12-12
829200824,553349318,3819,78,72,58,2016-12-12
1768805330,624770874,27,2,2,0,2016-12-12
1730609357,342847286,7117,1,1,1,2016-12-12
7957504,1270289144,47664,50,48,42,2016-12-12
1764017416,722225259,2,0,0,0,2016-12-12
1852043824,1519644322,74,3,3,2,2016-12-12
1091682207,649072229,61,2,2,2,2016-12-12
1506301109,2042092649,20,2,1,0,2016-12-12
1972115615,1838426739,386,12,12,10,2016-12-12
313450190,1430506477,47416,5,5,5,2016-12-12
508414954,1270289144,4262,20,19,17,2016-12-12
717844050,1851286936,1,0,0,0,2016-12-12
1725635615,1534063990,14,1,1,0,2016-12-12
778544259,1534063990,4,0,0,0,2016-12-12
646922510,1534063990,3,0,0,0,2016-12-12
2042092649,553349318,1951,19,16,16,2016-12-12
1768805330,1375110634,80,4,2,1,2016-12-12
554892047,1898642600,640,28,19,18,2016-12-12
1898642600,1494434346,764,18,15,14,2016-12-12
265442043,2036048124,240,10,9,8,2016-12-12
1243785496,1519644322,1072,11,11,8,2016-12-12
1838426739,615535993,4149,13,12,12,2016-12-12
1519644322,1534063990,780,16,14,12,2016-12-12
554892047,1519644322,1333,18,17,17,2016-12-12
722225259,1243785496,27,1,1,1,2016-12-12
1506301109,1623750070,165,6,6,4,2016-12-12
1665081654,553349318,177,7,6,4,2016-12-12
1534063990,313450190,42,3,2,1,2016-12-12
508414954,671574015,48,3,1,1,2016-12-12
722225259,717844050,1719,47,37,27,2016-12-12
1243785496,463397903,8542,3,3,3,2016-12-12
1494434346,1343237680,2,0,0,0,2016-12-12
1270289144,828589940,46808,48,48,45,2016-12-12
508414954,1730609357,15,1,1,0,2016-12-12
1506301109,1519644322,921,32,28,23,2016-12-12
342847286,1343237680,97,5,3,2,2016-12-12
1091682207,717844050,333,3,3,3,2016-12-12
637435742,717844050,20512,27,25,23,2016-12-12
1343237680,1898642600,53,5,3,0,2016-12-12
1270289144,2036048124,529,6,6,6,2016-12-12
1519644322,553349318,2808,68,61,54,2016-12-12
717844050,829200824,104,5,4,2,2016-12-12
1534063990,333175041,25671,4,4,4,2016-12-12
508414954,1243785496,1328,18,16,14,2016-12-12
1270289144,1623750070,171,6,5,3,2016-12-12
1243785496,1375110634,272,5,5,4,2016-12-12
1445225314,508414954,95,3,3,3,2016-12-12
429792557,1519644322,55,4,4,1,2016-12-12
1239571429,2056522415,149,8,6,4,2016-12-12
401107636,1585850597,9706,7,6,6,2016-12-12
1494434346,2098451489,5,0,0,0,2016-12-12
717844050,2036048124,178,2,2,2,2016-12-12
1343237680,1091682207,62,2,2,2,2016-12-12
554892047,401107636,62,2,2,2,2016-12-12
1725635615,2042092649,981,5,5,5,2016-12-12
2036048124,805113191,29707,739,619,517,2016-12-12
1375110634,554892047,18,1,1,0,2016-12-12
1768805330,2104873054,177,11,9,6,2016-12-12
7957504,1519644322,519,9,7,5,2016-12-12
1243785496,1445225314,811,29,27,23,2016-12-12
1270289144,1768805330,45,2,1,1,2016-12-12
1270289144,1430506477,14,1,1,0,2016-12-12
1494434346,1243785496,507,13,10,8,2016-12-12
1620846910,508414954,1,0,0,0,2016-12-12
342847286,1494434346,1780,16,13,13,2016-12-12
1534063990,408433646,22155,5,4,4,2016-12-12
1665081654,1697801431,13119,177,150,129,2016-12-12
508414954,1313750791,44,3,3,0,2016-12-12
1972115615,1534063990,82,4,3,2,2016-12-12
1519644322,829200824,2594,54,48,43,2016-12-12
554892047,1764017416,55,3,1,1,2016-12-12
1270289144,554892047,27336,25,25,23,2016-12-12
1270289144,805113191,150,5,4,4,2016-12-12
1343237680,717844050,238,3,2,2,2016-12-12
828589940,717844050,40058,28,28,26,2016-12-12
1725635615,1768805330,1223,13,13,11,2016-12-12
1623750070,778544259,1443,37,29,24,2016-12-12
554892047,463397903,16114,2,1,1,2016-12-12
1212892288,615535993,28364,169,150,141,2016-12-12
1239571429,496615740,9345,81,69,61,2016-12-12
98735408,508414954,312,7,6,5,2016-12-12
313450190,1243785496,99,5,4,2,2016-12-12
1343237680,1243785496,164,3,3,3,2016-12-12
2104873054,1623750070,18068,15,14,13,2016-12-12
1519644322,1270878398,5015,144,115,92,2016-12-12
1851286936,778544259,16,1,1,1,2016-12-12
1972115615,1343237680,999,21,19,18,2016-12-12
1343237680,1239571429,23895,543,477,410,2016-12-12
1764017416,195941619,1,0,0,0,2016-12-12
1873234880,463397903,97,2,1,1,2016-12-12
508414954,313450190,35,1,1,1,2016-12-12
342847286,1243785496,949,19,18,12,2016-12-12
1534063990,1375110634,5,0,0,0,2016-12-12
1519644322,508414954,290,9,8,8,2016-12-12
333175041,508414954,15,1,1,0,2016-12-12
554892047,313450190,2514,60,46,41,2016-12-12
1270289144,1697503993,17,2,0,0,2016-12-12
829200824,1494434346,19,1,1,1,2016-12-12
1725635615,508414954,38,1,1,1,2016-12-12
408433646,1519644322,229,7,6,6,2016-12-12
1838426739,1091682207,22,1,1,1,2016-12-12
1239571429,717844050,529,11,9,8,2016-12-12
1764017416,1091682207,17,1,1,1,2016-12-12
2036048124,828534847,6351,13,13,13,2016-12-12
1725635615,1623750070,15673,12,11,7,2016-12-12
554892047,1260588087,43,2,2,2,2016-12-12
646922510,1430506477,1,0,0,0,2016-12-12
2098451489,508414954,8,0,0,0,2016-12-12
554892047,2098451489,3,0,0,0,2016-12-12
722225259,508414954,179,8,6,5,2016-12-12
554892047,508414954,534,18,16,14,2016-12-12
553349318,1768805330,7435,24,24,24,2016-12-12
1851286936,553349318,36,2,2,1,2016-12-12
554892047,992606538,441,16,15,9,2016-12-12
1243785496,1534063990,24,2,2,0,2016-12-12
508414954,1873234880,22,1,1,1,2016-12-12
1430506477,508414954,89,5,4,3,2016-12-12
1972115615,1585850597,460,15,13,10,2016-12-12
1212892288,1838426739,66656,8,7,7,2016-12-12
722225259,195941619,9,1,0,0,2016-12-12
1558837466,978193060,12,1,1,0,2016-12-12
554892047,98735408,48,4,2,1,2016-12-12
1768805330,829200824,5540,13,12,9,2016-12-12
1519644322,1725635615,2037,46,45,42,2016-12-12
1558837466,98735408,1,0,0,0,2016-12-12
1111499302,1585850597,479,4,4,3,2016-12-12
554892047,805113191,672,27,21,17,2016-12-12
1972115615,1091682207,1426,29,24,19,2016-12-12
1111499302,1494434346,1554,19,19,19,2016-12-12
829200824,1506301109,17023,4,4,4,2016-12-12
1519644322,2042092649,10539,241,210,181,2016-12-12
554892047,1494434346,397,6,5,3,2016-12-12
1838426739,508414954,37,2,2,2,2016-12-12
1494434346,1091682207,39,2,1,1,2016-12-12
829200824,1851286936,25,1,1,1,2016-12-12
828589940,554892047,49058,8,8,8,2016-12-12
2042092649,333175041,29036,455,408,377,2016-12-12
2104873054,1725635615,22999,28,26,25,2016-12-12
1270289144,978193060,10487,9,7,6,2016-12-12
1270289144,1972115615,47,4,1,1,2016-12-12
554892047,1270878398,703,25,23,18,2016-12-12
342847286,1585850597,72,3,3,2,2016-12-12
2072496780,717844050,32,1,1,1,2016-12-12
1270289144,637435742,40081,52,47,46,2016-12-12
1506301109,778544259,2587,17,17,17,2016-12-12
1519644322,345466931,455,18,14,12,2016-12-12
1506301109,805113191,1513,24,22,22,2016-12-12
1343237680,463397903,382,7,6,6,2016-12-12
717844050,2056522415,458,9,8,7,2016-12-12
829200824,805113191,374,7,5,4,2016-12-12
1534063990,992606538,146,4,3,3,2016-12-12
1519644322,1768805330,1608,36,34,27,2016-12-12
829200824,508414954,26,2,2,0,2016-12-12
554892047,1430506477,3751,73,63,56,2016-12-12
243719136,1519644322,89,4,4,2,2016-12-12
829200824,2036048124,518,22,19,16,2016-12-12
1889314729,508414954,59,3,3,3,2016-12-12
1768805330,805113191,1712,18,17,15,2016-12-12
1270289144,2042092649,1073,8,7,7,2016-12-12
1243785496,637435742,35691,50,46,44,2016-12-12
1558837466,671574015,10,0,0,0,2016-12-12
1972115615,1898642600,4791,138,112,91,2016-12-12
671574015,463397903,147,5,2,2,2016-12-12
553349318,805113191,6103,89,86,74,2016-12-12
1239571429,2098451489,187,6,5,4,2016-12-12
508414954,195941619,93,4,4,2,2016-12-12
1506301109,2104873054,484,11,8,8,2016-12-12
828589940,1445225314,25796,310,278,259,2016-12-12
717844050,2042092649,235,3,2,2,2016-12-12
829200824,1111499302,4,0,0,0,2016-12-12
1375110634,1519644322,454,18,15,8,2016-12-12
1889314729,1585850597,2,0,0,0,2016-12-12
1932226176,1519644322,76,4,3,2,2016-12-12
1270289144,1519644322,1358,14,14,14,2016-12-12
1873234880,717844050,319,8,5,5,2016-12-12
1519644322,2036048124,3212,78,69,59,2016-12-12
1316102244,828534847,4442,2,2,2,2016-12-12
554892047,1091682207,1505,21,20,19,2016-12-12
1768805330,265442043,466,13,10,7,2016-12-12
778544259,508414954,13,1,1,0,2016-12-12
1445225314,637435742,1478,57,46,37,2016-12-12
1558837466,717844050,173,2,2,2,2016-12-12
345466931,624770874,17572,40,38,33,2016-12-12
1665081654,2036048124,28148,48,46,44,2016-12-12
722225259,463397903,233,5,4,1,2016-12-12
2036048124,333175041,17011,313,275,233,2016-12-12
1838426739,1430506477,1304,14,14,13,2016-12-12
265442043,1519644322,1643,52,43,36,2016-12-12
717844050,508414954,488,9,9,6,2016-12-12
1534063990,508414954,67,2,2,2,2016-12-12
829200824,1430506477,193,4,3,3,2016-12-12
992606538,1091682207,1548,12,11,11,2016-12-12
1494434346,1585850597,368,7,6,5,2016-12-12
2104873054,333175041,1,0,0,0,2016-12-12
1725635615,778544259,58969,17,16,13,2016-12-12
1270289144,828534847,7,0,0,0,2016-12-12
1519644322,1665081654,1099,27,27,21,2016-12-12
1838426739,1243785496,8,1,0,0,2016-12-12
7957504,1445225314,31246,484,421,349,2016-12-12
1764017416,1898642600,61420,20,20,18,2016-12-12
333175041,1623750070,45,2,2,2,2016-12-12
829200824,1243785496,55,2,1,1,2016-12-12
1697801431,1519644322,319,10,10,8,2016-12-12
637435742,828589940,51002,3,3,3,2016-12-12
1585850597,828534847,1973,21,20,17,2016-12-12
829200824,1665081654,1,0,0,0,2016-12-12
1270289144,265442043,672,6,6,6,2016-12-12
7957504,463397903,13498,2,2,2,2016-12-12
554892047,1445225314,61,3,2,1,2016-12-12
1343237680,649072229,54,2,2,2,2016-12-12
1725635615,553349318,16426,207,185,165,2016-12-12
1972115615,1494434346,81,4,2,2,2016-12-12
829200824,342847286,1,0,0,0,2016-12-12
554892047,1343237680,6,0,0,0,2016-12-12
1270289144,496615740,80,1,1,1,2016-12-12
1697503993,717844050,61,2,2,2,2016-12-12
717844050,649072229,36,1,1,1,2016-12-12
1494434346,1838426739,919,10,9,6,2016-12-12
1494434346,1764017416,2036,44,40,38,2016-12-12
1111499302,717844050,586,15,14,13,2016-12-12
646922510,2098451489,1,0,0,0,2016-12-12
1239571429,1558837466,70,2,2,1,2016-12-12
342847286,717844050,212,6,5,5,2016-12-12
195941619,717844050,474,5,5,3,2016-12-12
1270289144,1465819709,20,1,1,0,2016-12-12
1972115615,1764017416,109,3,2,2,2016-12-12
342847286,1764017416,546,21,20,19,2016-12-12
408433646,1506301109,17707,7,7,7,2016-12-12
195941619,1343237680,2,0,0,0,2016-12-12
342847286,1111499302,3385,122,91,73,2016-12-12
1838426739,1343237680,287,5,5,5,2016-12-12
554892047,778544259,51,2,2,2,2016-12-12
554892047,342847286,1818,34,31,25,2016-12-12
1091682207,1430506477,1956,7,7,7,2016-12-12
1768805330,243719136,2174,2,2,2,2016-12-12
2098451489,1243785496,32,2,1,1,2016-12-12
1768805330,2042092649,7,0,0,0,2016-12-12
554892047,1534063990,71,2,2,2,2016-12-12
649072229,1243785496,29,1,1,1,2016-12-12
1091682207,1585850597,1600,7,7,6,2016-12-12
1665081654,508414954,12,1,1,0,2016-12-12
992606538,717844050,467,13,8,7,2016-12-12
1343237680,722225259,42,1,1,1,2016-12-12
1270289144,1445225314,697,20,17,13,2016-12-12
1316102244,2056522415,30,2,1,1,2016-12-12
1558837466,2056522415,7,1,0,0,2016-12-12
7957504,554892047,50102,8,8,8,2016-12-12
671574015,717844050,1298,17,14,14,2016-12-12
2036048124,553349318,473,16,10,9,2016-12-12
1343237680,313450190,33,3,2,0,2016-12-12
1898642600,1091682207,133,5,2,2,2016-12-12
2036048124,508414954,752,13,11,9,2016-12-12
7957504,637435742,66408,3,3,3,2016-12-12
829200824,992606538,440,7,7,7,2016-12-12
1519644322,978193060,1,0,0,0,2016-12-12
1623750070,1534063990,12,1,1,0,2016-12-12
1111499302,1243785496,445,9,7,7,2016-12-12
829200824,722225259,45,2,2,1,2016-12-12
1744054166,1465819709,48,2,2,2,2016-12-12
1270878398,553349318,2285,19,18,17,2016-12-12
978193060,463397903,647,4,4,4,2016-12-12
1898642600,1316102244,35,3,2,0,2016-12-12
554892047,2042092649,2925,56,46,42,2016-12-12
265442043,1534063990,469,8,6,5,2016-12-12
2098451489,496615740,61737,379,361,344,2016-12-12
1375110634,1623750070,3966,154,134,107,2016-12-12
1243785496,2042092649,255,7,6,6,2016-12-12
1260588087,1243785496,27,1,1,1,2016-12-12
1430506477,1316102244,1551,37,29,28,2016-12-12
1375110634,1725635615,1,0,0,0,2016-12-12
1316102244,1870172004,69510,6,6,6,2016-12-12
1519644322,2104873054,1486,34,28,24,2016-12-12
828589940,508414954,3040,30,29,28,2016-12-12
752727656,1558837466,8555,30,26,23,2016-12-12
1243785496,1270878398,28,1,1,1,2016-12-12
554892047,1111499302,342,16,13,11,2016-12-12
829200824,978193060,64,2,2,2,2016-12-12
1243785496,554892047,1838,16,12,12,2016-12-12
554892047,2036048124,1678,29,22,17,2016-12-12
2042092649,1665081654,1502,47,43,28,2016-12-12
637435742,463397903,39102,3,3,3,2016-12-12
333175041,1665081654,288,10,10,9,2016-12-12
195941619,2072496780,6135,2,2,2,2016-12-12
646922510,1243785496,564,7,7,7,2016-12-12
554892047,671574015,1637,11,8,6,2016-12-12
313450190,1316102244,135,7,5,1,2016-12-12
