A,B,Weight,5,10,15,Date
1519644322,1465819709,276,8,6,5,2016-12-08
463397903,1558837466,700,16,12,11,2016-12-08
463397903,1889314729,57,3,2,1,2016-12-08
1091682207,1424241655,64,2,1,1,2016-12-08
646922510,554892047,55,5,3,0,2016-12-08
1239571429,1465819709,2669,69,55,44,2016-12-08
1889314729,717844050,274,15,9,8,2016-12-08
717844050,1506301109,27,2,2,0,2016-12-08
1445225314,637435742,15402,503,418,345,2016-12-08
2036048124,2042092649,5125,36,33,28,2016-12-08
2044461369,717844050,90,3,2,2,2016-12-08
1445225314,463397903,294,16,14,10,2016-12-08
333175041,1838426739,1835,23,23,16,2016-12-08
1430506477,345466931,1267,45,34,30,2016-12-08
1270289144,270735755,38,3,2,1,2016-12-08
463397903,496615740,2290,53,46,39,2016-12-08
1730609357,342847286,9980,88,83,75,2016-12-08
7957504,1270289144,51186,8,8,8,2016-12-08
1764017416,722225259,7,1,0,0,2016-12-08
1852043824,1519644322,39,2,1,1,2016-12-08
2072496780,195941619,2206,2,2,2,2016-12-08
1506301109,2042092649,8201,35,31,26,2016-12-08
313450190,1430506477,69,2,2,2,2016-12-08
508414954,1270289144,62670,15,15,15,2016-12-08
2036048124,1111499302,33,2,2,0,2016-12-08
1506301109,1665081654,161,8,7,6,2016-12-08
1725635615,1534063990,13,1,1,0,2016-12-08
2036048124,265442043,433,12,12,9,2016-12-08
1697801431,1665081654,23930,44,42,42,2016-12-08
649072229,1091682207,1,0,0,0,2016-12-08
1519644322,265442043,702,32,27,23,2016-12-08
553349318,2036048124,17895,553,469,381,2016-12-08
1898642600,1494434346,483,16,11,10,2016-12-08
1519644322,1534063990,704,20,17,14,2016-12-08
554892047,637435742,49226,24,24,24,2016-12-08
554892047,1519644322,64,4,4,1,2016-12-08
1585850597,717844050,419,5,4,4,2016-12-08
1494434346,508414954,103,3,3,3,2016-12-08
1506301109,1623750070,92,4,4,4,2016-12-08
1665081654,333175041,2637,37,33,27,2016-12-08
1534063990,313450190,107,4,3,3,2016-12-08
2036048124,1725635615,63,3,2,2,2016-12-08
722225259,717844050,647,27,19,16,2016-12-08
401107636,508414954,80,3,3,3,2016-12-08
1270289144,2025699847,37713,2,2,2,2016-12-08
1243785496,463397903,112,6,4,4,2016-12-08
828589940,463397903,52061,25,24,21,2016-12-08
1445225314,828589940,840,31,26,19,2016-12-08
463397903,1873234880,8614,3,3,3,2016-12-08
1270289144,646922510,11,1,1,0,2016-12-08
270735755,1558837466,3,0,0,0,2016-12-08
1889314729,98735408,2444,19,19,15,2016-12-08
1091682207,717844050,340,8,6,5,2016-12-08
